gene_name,gene_id_entrez,gene_id_ensembl,mim_number,mim_entry_type
ABCE1,6059,ENSG00000164163,601213,gene
ABCF1,23,ENSG00000204574,603429,gene
ABCF2,10061,ENSG00000033050,612510,gene
ABCG1,9619,ENSG00000160179,603076,gene
ABCG2,9429,ENSG00000118777,603756,gene
ABCG4,64137,ENSG00000172350,607784,gene
ABCG5,64240,ENSG00000138075,605459,gene
ABCG8,64241,ENSG00000143921,605460,gene
ABHD1,84696,ENSG00000143994,612195,gene
ABHD11-AS1,171022,NA,612545,gene
ABHD12,26090,ENSG00000100997,613599,gene
ABHD16A,7920,ENSG00000204427,142620,gene
ABHD17A,81926,ENSG00000129968,617942,gene
ABHD17B,51104,ENSG00000107362,617943,gene
ABHD17C,58489,ENSG00000136379,617944,gene
ABHD2,11057,ENSG00000140526,612196,gene
ABHD3,171586,ENSG00000158201,612197,gene
ABHD5,51099,ENSG00000011198,604780,gene
ABHD6,57406,ENSG00000163686,616966,gene
ABI1,10006,ENSG00000136754,603050,gene
ABI2,10152,ENSG00000138443,606442,gene
ABI3,51225,ENSG00000108798,606363,gene
ABI3BP,25890,ENSG00000154175,606279,gene
ABL1,25,ENSG00000097007,189980,gene
ABL2,27,ENSG00000143322,164690,gene
ABLIM1,3983,ENSG00000099204,602330,gene
ABLIM2,84448,ENSG00000163995,612544,gene
ABLIM3,22885,ENSG00000173210,611305,gene
ABO,28,ENSG00000175164,110300,gene
ABR,29,ENSG00000159842,600365,gene
ABRA,137735,ENSG00000174429,609747,gene
ABRAXAS1,84142,ENSG00000163322,611143,gene
ABRAXAS2,23172,ENSG00000165660,611144,gene
ABTB1,80325,ENSG00000114626,608308,gene
ACAA1,30,ENSG00000060971,604054,gene
ACAA2,10449,ENSG00000167315,604770,gene
ACACA,31,ENSG00000278540,200350,gene
ACACB,32,ENSG00000076555,601557,gene
ACAD10,80724,ENSG00000111271,611181,gene
ACAD11,84129,ENSG00000240303,614288,gene
ACAD8,27034,ENSG00000151498,604773,gene
ACAD9,28976,ENSG00000177646,611103,gene
ACADL,33,ENSG00000115361,609576,gene
ACADM,34,ENSG00000117054,607008,gene
ACADS,35,ENSG00000122971,606885,gene
ACADSB,36,ENSG00000196177,600301,gene
ACADVL,37,ENSG00000072778,609575,gene
ACAN,176,ENSG00000157766,155760,gene
ACAP1,9744,ENSG00000072818,607763,gene
ACAP2,23527,ENSG00000114331,607766,gene
ACAT1,38,ENSG00000075239,607809,gene
ACAT2,39,ENSG00000120437,100678,gene
ACBD3,64746,ENSG00000182827,606809,gene
ACBD5,91452,ENSG00000107897,616618,gene
ACBD6,84320,ENSG00000230124,616352,gene
ACCS,84680,ENSG00000110455,608405,gene
ACD,65057,ENSG00000102977,609377,gene
ACE,1636,ENSG00000159640,106180,gene/phenotype
ACE2,59272,ENSG00000130234,300335,gene
ACER1,125981,ENSG00000167769,613491,gene
ACER2,340485,ENSG00000177076,613492,gene
ACER3,55331,ENSG00000078124,617036,gene
ACHE,43,ENSG00000087085,100740,gene
ACIN1,22985,ENSG00000100813,604562,gene
ACKR1,2532,ENSG00000213088,613665,gene
ACKR2,1238,ENSG00000144648,602648,gene
ACKR3,57007,ENSG00000144476,610376,gene
ACKR4,51554,ENSG00000129048,606065,gene
ACLY,47,ENSG00000131473,108728,gene
ACMSD,130013,ENSG00000153086,608889,gene
ACO1,48,ENSG00000122729,100880,gene
ACO2,50,ENSG00000100412,100850,gene
ACOD1,730249,ENSG00000102794,615275,gene
ACOT1,641371,ENSG00000184227,614313,gene
ACOT11,26027,ENSG00000162390,606803,gene
ACOT12,134526,ENSG00000172497,614315,gene
ACOT13,55856,ENSG00000112304,615652,gene
ACOT2,10965,ENSG00000119673,609972,gene
ACOT4,122970,ENSG00000177465,614314,gene
ACOT6,641372,ENSG00000205669,614267,gene
ACOT7,11332,ENSG00000097021,602587,gene
ACOT8,10005,ENSG00000101473,608123,gene
ACOT9,23597,ENSG00000123130,300862,gene
ACOX1,51,ENSG00000161533,609751,gene
ACOX2,8309,ENSG00000168306,601641,gene
ACOX3,8310,ENSG00000087008,603402,gene
ACP1,52,ENSG00000143727,171500,gene
ACP2,53,ENSG00000134575,171650,gene
ACP3,55,ENSG00000014257,171790,gene
ACP4,93650,ENSG00000142513,606362,gene
ACP5,54,ENSG00000102575,171640,gene
ACP6,51205,ENSG00000162836,611471,gene
ACP7,390928,ENSG00000183760,610490,gene
ACR,49,ENSG00000100312,102480,gene
ACRBP,84519,ENSG00000111644,608352,gene
ACRV1,56,ENSG00000134940,102525,gene
ACSBG1,23205,ENSG00000103740,614362,gene
ACSBG2,81616,ENSG00000130377,614363,gene
ACSF2,80221,ENSG00000167107,610465,gene
ACSF3,197322,ENSG00000176715,614245,gene
ACSL1,2180,ENSG00000151726,152425,gene
ACSL3,2181,ENSG00000123983,602371,gene
ACSL4,2182,ENSG00000068366,300157,gene
ACSL5,51703,ENSG00000197142,605677,gene
ACSL6,23305,ENSG00000164398,604443,gene
ACSM1,116285,ENSG00000166743,614357,gene
ACSM2A,123876,ENSG00000183747,614358,gene
ACSM2B,348158,ENSG00000066813,614359,gene
ACSM3,6296,ENSG00000005187,145505,gene
ACSM4,341392,ENSG00000215009,614360,gene
ACSM5,54988,ENSG00000183549,614361,gene
ACSS1,84532,ENSG00000154930,614355,gene
ACSS2,55902,ENSG00000131069,605832,gene
ACSS3,79611,ENSG00000111058,614356,gene
ACTA1,58,ENSG00000143632,102610,gene
ACTA2,59,ENSG00000107796,102620,gene
ACTB,60,ENSG00000075624,102630,gene
ACTBL2,345651,ENSG00000169067,614835,gene
ACTC1,70,ENSG00000159251,102540,gene
ACTG1,71,ENSG00000184009,102560,gene
ACTG2,72,ENSG00000163017,102545,gene
ACTL6A,86,ENSG00000136518,604958,gene
ACTL6B,51412,ENSG00000077080,612458,gene
ACTL7A,10881,ENSG00000187003,604303,gene
ACTL7B,10880,ENSG00000148156,604304,gene
ACTN1,87,ENSG00000072110,102575,gene
ACTN2,88,ENSG00000077522,102573,gene
ACTN3,89,ENSG00000248746,102574,gene
ACTN4,81,ENSG00000130402,604638,gene
ACTR1A,10121,ENSG00000138107,605143,gene
ACTR1B,10120,ENSG00000115073,605144,gene
ACTR2,10097,ENSG00000138071,604221,gene
ACTR3,10096,ENSG00000115091,604222,gene
ACTRT1,139741,ENSG00000123165,300487,gene
ACTRT2,140625,ENSG00000169717,608535,gene
ACTRT3,84517,ENSG00000184378,608534,gene
ACVR1,90,ENSG00000115170,102576,gene
ACVR1B,91,ENSG00000135503,601300,gene
ACVR1C,130399,ENSG00000123612,608981,gene
ACVR2A,92,ENSG00000121989,102581,gene
ACVR2B,93,ENSG00000114739,602730,gene
ACVRL1,94,ENSG00000139567,601284,gene
ACY1,95,ENSG00000243989,104620,gene
ACY3,91703,ENSG00000132744,614413,gene
ACYP1,97,ENSG00000119640,600875,gene
ACYP2,98,ENSG00000170634,102595,gene
ADA,100,ENSG00000196839,608958,gene
ADA2,51816,ENSG00000093072,607575,gene
ADAD1,132612,ENSG00000164113,614130,gene
ADAM10,102,ENSG00000137845,602192,gene
ADAM11,4185,ENSG00000073670,155120,gene
ADAM12,8038,ENSG00000148848,602714,gene
ADAM15,8751,ENSG00000143537,605548,gene
ADAM17,6868,ENSG00000151694,603639,gene
ADAM19,8728,ENSG00000135074,603640,gene
ADAM2,2515,ENSG00000104755,601533,gene
ADAM20,8748,ENSG00000134007,603712,gene
ADAM21,8747,ENSG00000139985,603713,gene
ADAM22,53616,ENSG00000008277,603709,gene
ADAM23,8745,ENSG00000114948,603710,gene
ADAM28,10863,ENSG00000042980,606188,gene
ADAM29,11086,ENSG00000168594,604778,gene
ADAM30,11085,ENSG00000134249,604779,gene
ADAM32,203102,ENSG00000197140,618602,gene
ADAM33,80332,ENSG00000149451,607114,gene
ADAM7,8756,ENSG00000069206,607310,gene
ADAM8,101,ENSG00000151651,602267,gene
ADAM9,8754,ENSG00000168615,602713,gene
ADAMDEC1,27299,ENSG00000134028,606393,gene
ADAMTS1,9510,ENSG00000154734,605174,gene
ADAMTS10,81794,ENSG00000142303,608990,gene
ADAMTS12,81792,ENSG00000151388,606184,gene
ADAMTS13,11093,ENSG00000160323,604134,gene
ADAMTS14,140766,ENSG00000138316,607506,gene
ADAMTS15,170689,ENSG00000166106,607509,gene
ADAMTS16,170690,ENSG00000145536,607510,gene
ADAMTS17,170691,ENSG00000140470,607511,gene
ADAMTS18,170692,ENSG00000140873,607512,gene
ADAMTS19,171019,ENSG00000145808,607513,gene
ADAMTS2,9509,ENSG00000087116,604539,gene
ADAMTS20,80070,ENSG00000173157,611681,gene
ADAMTS3,9508,ENSG00000156140,605011,gene
ADAMTS4,9507,ENSG00000158859,603876,gene
ADAMTS5,11096,ENSG00000154736,605007,gene
ADAMTS6,11174,ENSG00000049192,605008,gene
ADAMTS7,11173,ENSG00000136378,605009,gene
ADAMTS8,11095,ENSG00000134917,605175,gene
ADAMTS9,56999,ENSG00000163638,605421,gene
ADAMTSL1,92949,ENSG00000178031,609198,gene
ADAMTSL2,9719,ENSG00000197859,612277,gene
ADAMTSL3,57188,ENSG00000156218,609199,gene
ADAMTSL4,54507,ENSG00000143382,610113,gene
ADAP1,11033,ENSG00000105963,608114,gene
ADAP2,55803,ENSG00000184060,608635,gene
ADAR,103,ENSG00000160710,146920,gene
ADARB1,104,ENSG00000197381,601218,gene
ADARB2,105,ENSG00000185736,602065,gene
ADAT1,23536,ENSG00000065457,604230,gene
ADAT2,134637,ENSG00000189007,615388,gene
ADAT3,113179,ENSG00000213638,615302,gene
ADCY1,107,ENSG00000164742,103072,gene
ADCY10,55811,ENSG00000143199,605205,gene
ADCY2,108,ENSG00000078295,103071,gene
ADCY3,109,ENSG00000138031,600291,gene
ADCY4,196883,ENSG00000129467,600292,gene
ADCY5,111,ENSG00000173175,600293,gene
ADCY6,112,ENSG00000174233,600294,gene
ADCY7,113,ENSG00000121281,600385,gene
ADCY8,114,ENSG00000155897,103070,gene
ADCY9,115,ENSG00000162104,603302,gene
ADCYAP1,116,ENSG00000141433,102980,gene
ADCYAP1R1,117,ENSG00000078549,102981,gene
ADD1,118,ENSG00000087274,102680,gene
ADD2,119,ENSG00000075340,102681,gene
ADD3,120,ENSG00000148700,601568,gene
ADGB,79747,ENSG00000118492,614630,gene
ADGRA1,84435,ENSG00000197177,612302,gene
ADGRA2,25960,ENSG00000020181,606823,gene
ADGRA3,166647,ENSG00000152990,612303,gene
ADGRB1,575,ENSG00000181790,602682,gene
ADGRB2,576,ENSG00000121753,602683,gene
ADGRB3,577,ENSG00000135298,602684,gene
ADGRD1,283383,ENSG00000111452,613639,gene
ADGRE1,2015,ENSG00000174837,600493,gene
ADGRE2,30817,ENSG00000127507,606100,gene
ADGRE3,84658,ENSG00000131355,606101,gene
ADGRE4P,326342,ENSG00000268758,612305,gene
ADGRE5,976,ENSG00000123146,601211,gene
ADGRF1,266977,ENSG00000153292,617430,gene
ADGRF4,221393,ENSG00000153294,614268,gene
ADGRG1,9289,ENSG00000205336,604110,gene
ADGRG2,10149,ENSG00000173698,300572,gene
ADGRG3,222487,ENSG00000182885,618441,gene
ADGRG5,221188,ENSG00000159618,616965,gene
ADGRG6,57211,ENSG00000112414,612243,gene
ADGRG7,84873,ENSG00000144820,612307,gene
ADGRL1,22859,ENSG00000072071,616416,gene
ADGRL2,23266,ENSG00000117114,607018,gene
ADGRL3,23284,ENSG00000150471,616417,gene
ADGRL4,64123,ENSG00000162618,616419,gene
ADGRV1,84059,ENSG00000164199,602851,gene
ADH1A,124,ENSG00000187758,103700,gene
ADH1B,125,ENSG00000196616,103720,gene
ADH1C,126,ENSG00000248144,103730,gene
ADH4,127,ENSG00000198099,103740,gene
ADH5,128,ENSG00000197894,103710,gene
ADH6,130,ENSG00000172955,103735,gene
ADH7,131,ENSG00000196344,600086,gene
ADHFE1,137872,ENSG00000147576,611083,gene
ADI1,55256,ENSG00000182551,613400,gene
ADIG,149685,ENSG00000182035,611396,gene
ADIPOQ,9370,ENSG00000181092,605441,gene
ADIPOR1,51094,ENSG00000159346,607945,gene
ADIPOR2,79602,ENSG00000006831,607946,gene
ADK,132,ENSG00000156110,102750,gene
ADM,133,ENSG00000148926,103275,gene
ADM2,79924,ENSG00000128165,608682,gene
ADNP,23394,ENSG00000101126,611386,gene
ADNP2,22850,ENSG00000101544,617422,gene
ADO,84890,ENSG00000181915,611392,gene
ADORA1,134,ENSG00000163485,102775,gene
ADORA2A,135,ENSG00000128271,102776,gene
ADORA2B,136,ENSG00000170425,600446,gene
ADORA3,140,ENSG00000282608,600445,gene
ADPGK,83440,ENSG00000159322,611861,gene
ADPRH,141,ENSG00000144843,603081,gene
ADPRHL1,113622,ENSG00000153531,610620,gene
ADPRHL2,54936,ENSG00000116863,610624,gene
ADRA1A,148,ENSG00000120907,104221,gene
ADRA1B,147,ENSG00000170214,104220,gene
ADRA1D,146,ENSG00000171873,104219,gene
ADRA2A,150,ENSG00000150594,104210,gene
ADRA2B,151,ENSG00000274286,104260,gene
ADRA2C,152,ENSG00000184160,104250,gene/phenotype
ADRB1,153,ENSG00000043591,109630,gene/phenotype
ADRB2,154,ENSG00000169252,109690,gene/phenotype
ADRB3,155,ENSG00000188778,109691,gene
ADRM1,11047,ENSG00000130706,610650,gene
ADSL,158,ENSG00000239900,608222,gene
ADSS1,122622,ENSG00000185100,612498,gene
ADSS2,159,ENSG00000035687,103060,gene
ADTRP,84830,ENSG00000111863,614348,gene
AEBP1,165,ENSG00000106624,602981,gene
AEBP2,121536,ENSG00000139154,617934,gene
AEN,64782,ENSG00000181026,610177,gene
AFAP1,60312,ENSG00000196526,608252,gene
AFAP1L1,134265,ENSG00000157510,614410,gene
AFAP1L2,84632,ENSG00000169129,612420,gene
AFDN,4301,ENSG00000130396,159559,gene
AFF1,4299,ENSG00000172493,159557,gene
AFF2,2334,ENSG00000155966,300806,gene
AFF3,3899,ENSG00000144218,601464,gene
AFF4,27125,ENSG00000072364,604417,gene
AFG1L,246269,ENSG00000135537,617469,gene
AFG3L1P,172,ENSG00000223959,603020,gene
AFG3L2,10939,ENSG00000141385,604581,gene
AFM,173,ENSG00000079557,104145,gene
AFP,174,ENSG00000081051,104150,gene
AGA,175,ENSG00000038002,613228,gene
AGAP1,116987,ENSG00000157985,608651,gene
AGAP2,116986,ENSG00000135439,605476,gene
AGAP3,116988,ENSG00000133612,616813,gene
AGBL1,123624,ENSG00000273540,615496,gene
AGBL2,79841,ENSG00000165923,617345,gene
AGBL3,340351,ENSG00000146856,617346,gene
AGBL4,84871,ENSG00000186094,616476,gene
AGBL5,60509,ENSG00000084693,615900,gene
AGER,177,ENSG00000204305,600214,gene
AGFG1,3267,ENSG00000173744,600862,gene
AGFG2,3268,ENSG00000106351,604019,gene
AGGF1,55109,ENSG00000164252,608464,gene
AGK,55750,ENSG00000006530,610345,gene
AGL,178,ENSG00000162688,610860,gene
AGMAT,79814,ENSG00000116771,617887,gene
AGMO,392636,ENSG00000187546,613738,gene
AGO1,26523,ENSG00000092847,606228,gene
AGO2,27161,ENSG00000123908,606229,gene
AGO3,192669,ENSG00000126070,607355,gene
AGO4,192670,ENSG00000134698,607356,gene
AGPAT1,10554,ENSG00000204310,603099,gene
AGPAT2,10555,ENSG00000169692,603100,gene
AGPAT3,56894,ENSG00000160216,614794,gene
AGPAT4,56895,ENSG00000026652,614795,gene
AGPAT5,55326,ENSG00000155189,614796,gene
AGPS,8540,ENSG00000018510,603051,gene
AGR2,10551,ENSG00000106541,606358,gene
AGR3,155465,ENSG00000173467,609482,gene
AGRN,375790,ENSG00000188157,103320,gene
AGRP,181,ENSG00000159723,602311,gene
AGT,183,ENSG00000135744,106150,gene/phenotype
AGTPBP1,23287,ENSG00000135049,606830,gene
AGTR1,185,ENSG00000144891,106165,gene
AGTR2,186,ENSG00000180772,300034,gene
AGTRAP,57085,ENSG00000177674,608729,gene
AGXT,189,ENSG00000172482,604285,gene
AGXT2,64902,ENSG00000113492,612471,gene
AHCTF1,25909,ENSG00000153207,610853,gene
AHCY,191,ENSG00000101444,180960,gene
AHCYL1,10768,ENSG00000168710,607826,gene
AHCYL2,23382,ENSG00000158467,616520,gene
AHDC1,27245,ENSG00000126705,615790,gene
AHI1,54806,ENSG00000135541,608894,gene
AHNAK,79026,ENSG00000124942,103390,gene
AHNAK2,113146,ENSG00000185567,608570,gene
AHR,196,ENSG00000106546,600253,gene
AHRR,57491,ENSG00000286169,606517,gene
AHSA1,10598,ENSG00000100591,608466,gene
AHSG,197,ENSG00000145192,138680,gene
AHSP,51327,ENSG00000169877,605821,gene
AICDA,57379,ENSG00000111732,605257,gene
AIDA,64853,ENSG00000186063,612375,gene
AIF1,199,ENSG00000204472,601833,gene
AIFM1,9131,ENSG00000156709,300169,gene
AIFM2,84883,ENSG00000042286,605159,gene
AIFM3,150209,ENSG00000183773,617298,gene
AIG1,51390,ENSG00000146416,608514,gene
AIM2,9447,ENSG00000163568,604578,gene
AIMP1,9255,ENSG00000164022,603605,gene
AIMP2,7965,ENSG00000106305,600859,gene
AIP,9049,ENSG00000110711,605555,gene
AIPL1,23746,ENSG00000129221,604392,gene
AIRE,326,ENSG00000160224,607358,gene
AIRN,100271873,ENSG00000268257,604893,gene
AJAP1,55966,ENSG00000196581,610972,gene
AJUBA,84962,ENSG00000129474,609066,gene
AK1,203,ENSG00000106992,103000,gene
AK2,204,ENSG00000004455,103020,gene
AK3,50808,ENSG00000147853,609290,gene
AK4,205,ENSG00000162433,103030,gene
AK5,26289,ENSG00000154027,608009,gene
AK7,122481,ENSG00000140057,615364,gene
AK8,158067,ENSG00000165695,615365,gene
AK9,221264,ENSG00000155085,615358,gene
AKAIN1,642597,ENSG00000231824,616427,gene
AKAP1,8165,ENSG00000121057,602449,gene
AKAP10,11216,ENSG00000108599,604694,gene
AKAP11,11215,ENSG00000023516,604696,gene
AKAP12,9590,ENSG00000131016,604698,gene
AKAP13,11214,ENSG00000170776,604686,gene
AKAP14,158798,ENSG00000186471,300462,gene
AKAP17A,8227,ENSG00000197976,312095,gene
AKAP17A,8227,ENSG00000197976,465000,gene
AKAP3,10566,ENSG00000111254,604689,gene
AKAP4,8852,ENSG00000147081,300185,gene
AKAP5,9495,ENSG00000179841,604688,gene
AKAP6,9472,ENSG00000151320,604691,gene
AKAP7,9465,ENSG00000118507,604693,gene
AKAP8,10270,ENSG00000105127,604692,gene
AKAP8L,26993,ENSG00000011243,609475,gene
AKAP9,10142,ENSG00000127914,604001,gene
AKIP1,56672,ENSG00000166452,609191,gene
AKIRIN1,79647,ENSG00000174574,615164,gene
AKIRIN2,55122,ENSG00000135334,615165,gene
AKNA,80709,ENSG00000106948,605729,gene
AKR1A1,10327,ENSG00000117448,103830,gene
AKR1B1,231,ENSG00000085662,103880,gene
AKR1B10,57016,ENSG00000198074,604707,gene
AKR1B15,441282,ENSG00000227471,616336,gene
AKR1C1,1645,ENSG00000187134,600449,gene
AKR1C2,1646,ENSG00000151632,600450,gene
AKR1C3,8644,ENSG00000196139,603966,gene
AKR1C4,1109,ENSG00000198610,600451,gene
AKR1D1,6718,ENSG00000122787,604741,gene
AKR1E2,83592,ENSG00000165568,617451,gene
AKR7A2,8574,ENSG00000053371,603418,gene
AKR7A3,22977,ENSG00000162482,608477,gene
AKR7L,246181,ENSG00000211454,608478,gene
AKT1,207,ENSG00000142208,164730,gene
AKT1S1,84335,ENSG00000204673,610221,gene
AKT2,208,ENSG00000105221,164731,gene
AKT3,10000,ENSG00000117020,611223,gene
AKTIP,64400,ENSG00000166971,608483,gene
ALAD,210,ENSG00000148218,125270,gene
ALAS1,211,ENSG00000023330,125290,gene
ALAS2,212,ENSG00000158578,301300,gene
ALB,213,ENSG00000163631,103600,gene
ALCAM,214,ENSG00000170017,601662,gene
ALDH16A1,126133,ENSG00000161618,613358,gene
ALDH18A1,5832,ENSG00000059573,138250,gene
ALDH1A1,216,ENSG00000165092,100640,gene
ALDH1A2,8854,ENSG00000128918,603687,gene
ALDH1A3,220,ENSG00000184254,600463,gene
ALDH1B1,219,ENSG00000137124,100670,gene
ALDH1L1,10840,ENSG00000144908,600249,gene
ALDH1L2,160428,ENSG00000136010,613584,gene
ALDH2,217,ENSG00000111275,100650,gene/phenotype
ALDH3A1,218,ENSG00000108602,100660,gene
ALDH3A2,224,ENSG00000072210,609523,gene
ALDH3B1,221,ENSG00000006534,600466,gene
ALDH3B2,222,ENSG00000132746,601917,gene
ALDH4A1,8659,ENSG00000159423,606811,gene
ALDH5A1,7915,ENSG00000112294,610045,gene
ALDH6A1,4329,ENSG00000119711,603178,gene
ALDH7A1,501,ENSG00000164904,107323,gene
ALDH8A1,64577,ENSG00000118514,606467,gene
ALDH9A1,223,ENSG00000143149,602733,gene
ALDOA,226,ENSG00000149925,103850,gene
ALDOB,229,ENSG00000136872,612724,gene
ALDOC,230,ENSG00000109107,103870,gene
ALG1,56052,ENSG00000033011,605907,gene
ALG10,84920,ENSG00000139133,618355,gene
ALG10B,144245,ENSG00000175548,603313,gene
ALG11,440138,ENSG00000253710,613666,gene
ALG12,79087,ENSG00000182858,607144,gene
ALG13,79868,ENSG00000101901,300776,gene
ALG14,199857,ENSG00000172339,612866,gene
ALG2,85365,ENSG00000119523,607905,gene
ALG3,10195,ENSG00000214160,608750,gene
ALG5,29880,ENSG00000120697,604565,gene
ALG6,29929,ENSG00000088035,604566,gene
ALG8,79053,ENSG00000159063,608103,gene
ALG9,79796,ENSG00000086848,606941,gene
ALK,238,ENSG00000171094,105590,gene
ALKBH1,8846,ENSG00000100601,605345,gene
ALKBH2,121642,ENSG00000189046,610602,gene
ALKBH3,221120,ENSG00000166199,610603,gene
ALKBH4,54784,ENSG00000160993,613302,gene
ALKBH5,54890,ENSG00000091542,613303,gene
ALKBH6,84964,ENSG00000239382,613304,gene
ALKBH7,84266,ENSG00000125652,613305,gene
ALKBH8,91801,ENSG00000137760,613306,gene
ALLC,55821,ENSG00000151360,612396,predominantly phenotypes
ALMS1,7840,ENSG00000116127,606844,gene
ALOX12,239,ENSG00000108839,152391,gene
ALOX12B,242,ENSG00000179477,603741,gene
ALOX15,246,ENSG00000161905,152392,gene
ALOX15B,247,ENSG00000179593,603697,gene
ALOX5,240,ENSG00000012779,152390,gene
ALOX5AP,241,ENSG00000132965,603700,gene
ALOXE3,59344,ENSG00000179148,607206,gene
ALPG,251,ENSG00000163286,171810,gene
ALPI,248,ENSG00000163295,171740,gene
ALPK1,80216,ENSG00000073331,607347,gene
ALPK3,57538,ENSG00000136383,617608,gene
ALPL,249,ENSG00000162551,171760,gene
ALPP,250,ENSG00000163283,171800,gene
ALS2,57679,ENSG00000003393,606352,gene
ALS2CL,259173,ENSG00000178038,612402,gene
ALX1,8092,ENSG00000180318,601527,gene
ALX3,257,ENSG00000156150,606014,gene
ALX4,60529,ENSG00000052850,605420,gene
ALYREF,10189,ENSG00000183684,604171,gene
AMACR,23600,ENSG00000242110,604489,gene
AMBN,258,ENSG00000178522,601259,gene
AMBP,259,ENSG00000106927,176870,gene
AMBRA1,55626,ENSG00000110497,611359,gene
AMD1,262,ENSG00000123505,180980,gene
AMELX,265,ENSG00000125363,300391,gene
AMELY,266,ENSG00000099721,410000,gene
AMER1,139285,ENSG00000184675,300647,gene
AMER2,219287,ENSG00000165566,614659,gene
AMFR,267,ENSG00000159461,603243,gene
AMH,268,ENSG00000104899,600957,gene
AMHR2,269,ENSG00000135409,600956,gene
AMIGO1,57463,ENSG00000181754,615689,gene
AMIGO2,347902,ENSG00000139211,615690,gene
AMIGO3,386724,ENSG00000176020,615691,gene
AMMECR1,9949,ENSG00000101935,300195,gene
AMN,81693,ENSG00000166126,605799,gene
AMOT,154796,ENSG00000126016,300410,gene
AMOTL1,154810,ENSG00000166025,614657,gene
AMOTL2,51421,ENSG00000114019,614658,gene
AMPD1,270,ENSG00000116748,102770,gene
AMPD2,271,ENSG00000116337,102771,gene
AMPD3,272,ENSG00000133805,102772,gene
AMPH,273,ENSG00000078053,600418,gene
AMT,275,ENSG00000145020,238310,gene
AMTN,401138,ENSG00000187689,610912,gene
AMY1A,276,ENSG00000237763,104700,gene
AMY1B,277,ENSG00000174876,104701,gene
AMY1C,278,ENSG00000187733,104702,gene
AMY2A,279,ENSG00000243480,104650,gene
AMY2B,280,ENSG00000240038,104660,gene
AMZ1,155185,ENSG00000174945,615168,gene
AMZ2,51321,ENSG00000196704,615169,gene
ANAPC1,64682,ENSG00000153107,608473,gene
ANAPC10,10393,ENSG00000164162,613745,gene
ANAPC11,51529,ENSG00000141552,614534,gene
ANAPC13,25847,ENSG00000129055,614484,gene
ANAPC15,25906,ENSG00000110200,614717,gene
ANAPC16,119504,ENSG00000166295,613427,gene
ANAPC2,29882,ENSG00000176248,606946,gene
